ExportComments.com,,,,,,,,,,,,,,,
Source URL,https://shopee.ph/Anta-Men-Kt-Fly-Klay-Thompson-Shoes-Basketball-Shoes-112321606-i.960701811.16594271766?publish_id=&sp_atk=3f8003e7-ca93-45d4-9466-dac55e080a1b&xptdk=3f8003e7-ca93-45d4-9466-dac55e080a1b,,,,,,,,,,,,,,
Timezone,UTC,,,,,,,,,,,,,,
Summary,Rating Total: 2074; No Stars: 3 reviews; *: 8 reviews; **: 16 reviews; ***: 98 reviews; ****: 1949 reviews;  With Context: 642;  With Image: 518;  With Media: 544;  Local Review: 2054;  Overall Fit Small: 1;  Overall Fit Fit: 87;  Oversea Review: 20; ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Author,Date,Rating,Rating Delivery Service,Rating Product Quality,Rating Seller Service,Review,Version,Oversea Shopping,Region,Picture included,Photos,Videos,(view source)
21,,faye2020_newnormz,09/07/23,5,5,5,5,"Quality:good
Appearance:nice
Suitability:suit well

My husband love it so much. He used it in his game immediately. So soft and lightweigth. Like the design and color. Hope it will last long. Fits well in his feet. We recieved exact size
https://cf.shopee.vn/file/ph-11134103-7qukx-lizme5uvlqose1
https://cf.shopee.vn/file/ph-11134103-7qul6-lizme5uv22h228
https://cf.shopee.vn/file/ph-11134103-7qukx-lizme5sd5qak04
https://cf.shopee.vn/file/ph-11134103-7qul3-lizme5sd5q1215","white/blue-1,8.5/42",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qukx-lizme5uvlqose1, https://cf.shopee.vn/file/ph-11134103-7qul6-lizme5uv22h228, https://cf.shopee.vn/file/ph-11134103-7qukx-lizme5sd5qak04, https://cf.shopee.vn/file/ph-11134103-7qul3-lizme5sd5q1215",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnk-lizmebomj3t219.16000461688888339.mp4,view review
22,,r*****i,10/07/23,5,5,5,5,"Appearance:Great
Quality:High Quality

Got it at an affordable price and the seller shipped the product immediately. Glad that it doesn't have excessive bubble wrap, yet the item arrived in excellent condition—even its box. Shoes itself is comfortable to wear and fits just right according to the person I gave it to.
https://cf.shopee.vn/file/ph-11134103-7qula-lj12qtdsf3lyfe
https://cf.shopee.vn/file/ph-11134103-7qul6-lj12qteceadie9
https://cf.shopee.vn/file/ph-11134103-7qul7-lj12qtdsf3vg34","white/blue-1,9/42.5",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qula-lj12qtdsf3lyfe, https://cf.shopee.vn/file/ph-11134103-7qul6-lj12qteceadie9, https://cf.shopee.vn/file/ph-11134103-7qul7-lj12qtdsf3vg34",,view review
23,,d*****6,14/07/23,5,5,5,5,"Suitability:perfectly fit
Appearance:what you see is what you get
Quality:high quality original

Amazing product item shipped immediately no damages or anything thank you seller will order other items soon","white/green/yellow-5,8.5/42",no,ph,no,,,view review
24,,lemuelelven,17/07/23,5,5,5,5,"Appearance:dekalidad
Suitability:good for PG, SG, PF
Quality:Dekalidad,

Kung nagpunta ka rito sa mga review para pagbasehan ang iba. Bilin mo na agad sulit sa pera kesa sa peke ka bumagsak.
https://cf.shopee.vn/file/ph-11134103-7qula-ljazuayc7srgea","white/green/yellow-5,10/44",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qula-ljazuayc7srgea,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnn-ljazuozbotb073.16000461689576832.mp4,view review
25,,docbil14,21/07/23,5,5,5,5,"Quality:super Good
Appearance:10/10

Thank You So Much . One week and more. Bago dumating super ganda.. ingay gamitin. Solid!
https://cf.shopee.vn/file/ph-11134103-7qul6-ljh3llng3pt88f
https://cf.shopee.vn/file/ph-11134103-7qul7-ljh3llko7rzge6
https://cf.shopee.vn/file/ph-11134103-7qul4-ljh3llhwbu5o89
https://cf.shopee.vn/file/ph-11134103-7qul3-ljh3llng54dob5
https://cf.shopee.vn/file/ph-11134103-7quky-ljh3llkon88c80","white/green/yellow-5,9/42.5",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul6-ljh3llng3pt88f, https://cf.shopee.vn/file/ph-11134103-7qul7-ljh3llko7rzge6, https://cf.shopee.vn/file/ph-11134103-7qul4-ljh3llhwbu5o89, https://cf.shopee.vn/file/ph-11134103-7qul3-ljh3llng54dob5, https://cf.shopee.vn/file/ph-11134103-7quky-ljh3llkon88c80",,view review
26,,j*****e,26/07/23,5,5,5,5,"Suitability:great
Appearance:excellent
Quality:excellent

Shipped immediately, ang ganda quality nagistuhan ng anak ko ginamot nya agad panlaro ,
Looking forward to more orders of Anta shoes😍
https://cf.shopee.vn/file/ph-11134103-7qul9-ljnu1i8zre6n9a","white/blue-1,11/45",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qul9-ljnu1i8zre6n9a,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnl-ljnu2c81uwzz0f.16000461690354052.mp4,view review
27,,davemaneze,04/08/23,4,5,4,4,"Suitability:Seems good
Quality:Good
Appearance:Very Good

May sira lang tulad sa laces may cut tapos yung tahi medyo may putol putol
https://cf.shopee.vn/file/ph-11134103-7qul2-lk0w08kn7csv67
https://cf.shopee.vn/file/ph-11134103-7qula-lk0w08kna5ikb5
https://cf.shopee.vn/file/ph-11134103-7qul4-lk0w08kn7cdocb","white/blue-1,11/45",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul2-lk0w08kn7csv67, https://cf.shopee.vn/file/ph-11134103-7qula-lk0w08kna5ikb5, https://cf.shopee.vn/file/ph-11134103-7qul4-lk0w08kn7cdocb",,view review
28,,lhanderugbaniel,05/08/23,5,5,5,5,"Quality:very nice

my boyfriend loved it maganda yung quality and very true to size siya and nag spike pa. thank you so much seller ❤️
https://cf.shopee.vn/file/ph-11134103-7qul2-lk1uvzom2mbz82","white/blue-1,9.5/43",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qul2-lk1uvzom2mbz82,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrno-lk1uw40tq0svb2.16000051691202918.mp4,view review
29,,theshipperer,06/08/23,5,5,5,5,"Suitability:ang ganda
Quality:quality talaga recommend talaga to kaysa sa mga UA pair or fake na tag 2.5k
Appearance:ganda

Recommend to instead of buying UA na fake din naman.
https://cf.shopee.vn/file/ph-11134103-7qul2-lk3dk9pzww30fd
https://cf.shopee.vn/file/ph-11134103-7quky-lk3dk9obzc7j74","white/blue-1,11/45",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul2-lk3dk9pzww30fd, https://cf.shopee.vn/file/ph-11134103-7quky-lk3dk9obzc7j74",,view review
30,,p*****z,09/08/23,5,5,5,5,"Appearance:10/10
Quality:10/10
Suitability:10/10

Legit...!!! Ganda ng item... Ganda ng spike makapit at ang ingay pag ginamit.. advance ng 2days pa dumating sa estimated time 👍👍👍
https://cf.shopee.vn/file/ph-11134103-7qul3-lk7wsm8s9p5bb2
https://cf.shopee.vn/file/ph-11134103-7qul5-lk7wsm92ap3jb0","white/blue-1,8/41",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul3-lk7wsm8s9p5bb2, https://cf.shopee.vn/file/ph-11134103-7qul5-lk7wsm92ap3jb0",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnk-lk7wtd2n09yk0f.default.mp4,view review
